flow,speed,time
8.0,61.0,2021-01-21 07:15:00
8.0,51.0,2021-01-21 07:30:00
6.0,61.0,2021-01-21 07:45:00
8.0,45.0,2021-01-21 08:00:00
8.0,31.0,2021-01-21 08:15:00
15.0,67.0,2021-01-21 08:30:00
31.0,56.0,2021-01-21 08:45:00
38.0,47.0,2021-01-21 09:00:00
34.0,54.0,2021-01-21 09:15:00
33.0,59.0,2021-01-21 09:30:00
46.0,65.0,2021-01-21 09:45:00
33.0,54.0,2021-01-21 10:00:00
43.0,53.0,2021-01-21 10:15:00
34.0,42.0,2021-01-21 10:30:00
38.0,49.0,2021-01-21 10:45:00
46.0,59.0,2021-01-21 11:00:00
45.0,63.0,2021-01-21 11:15:00
55.0,64.0,2021-01-21 11:30:00
36.0,50.0,2021-01-21 11:45:00
52.0,64.0,2021-01-21 12:00:00
44.0,49.0,2021-01-21 12:15:00
49.0,48.0,2021-01-21 12:30:00
41.0,40.0,2021-01-21 12:45:00
47.0,53.0,2021-01-21 13:00:00
39.0,46.0,2021-01-21 13:15:00
52.0,58.0,2021-01-21 13:30:00
40.0,39.0,2021-01-21 13:45:00
41.0,48.0,2021-01-21 14:00:00
44.0,48.0,2021-01-21 14:15:00
45.0,48.0,2021-01-21 14:30:00
54.0,57.0,2021-01-21 14:45:00
59.0,59.0,2021-01-21 15:00:00
41.0,45.0,2021-01-21 15:15:00
38.0,45.0,2021-01-21 15:30:00
33.0,36.0,2021-01-21 15:45:00
45.0,51.0,2021-01-21 16:00:00
56.0,64.0,2021-01-21 16:15:00
44.0,49.0,2021-01-21 16:30:00
44.0,54.0,2021-01-21 16:45:00
41.0,52.0,2021-01-21 17:00:00
42.0,45.0,2021-01-21 17:15:00
37.0,49.0,2021-01-21 17:30:00
43.0,60.0,2021-01-21 17:45:00
38.0,53.0,2021-01-21 18:00:00
28.0,38.0,2021-01-21 18:15:00
23.0,48.0,2021-01-21 18:30:00
24.0,44.0,2021-01-21 18:45:00
31.0,51.0,2021-01-21 19:00:00
33.0,57.0,2021-01-21 19:15:00
30.0,46.0,2021-01-21 19:30:00
20.0,50.0,2021-01-21 19:45:00
26.0,43.0,2021-01-21 20:00:00
30.0,58.0,2021-01-21 20:15:00
34.0,66.0,2021-01-21 20:30:00
37.0,84.0,2021-01-21 20:45:00
18.0,81.0,2021-01-21 21:00:00
17.0,79.0,2021-01-21 21:15:00
14.0,79.0,2021-01-21 21:30:00
17.0,83.0,2021-01-21 21:45:00
18.0,83.0,2021-01-21 22:00:00
